location_id,location_name
1220,Aircraft
1002,Alamein
1003,Albion
1005,Altona
1006,Anstey
1008,Armadale
1009,Ascot Vale
1010,Ashburton
1011,Aspendale
1012,Auburn
1013,Balaclava
1014,Batman
1015,Baxter
1016,Bayswater
1017,Beaconsfield
1018,Belgrave
1019,Bell
1020,Bentleigh
1021,Berwick
1022,Bittern
1023,Blackburn
1024,Bonbeach
1025,Boronia
1026,Box Hill
1027,Brighton Beach
1028,Broadmeadows
1029,Brunswick
1030,Burnley
1031,Burwood
1032,Camberwell
1033,Canterbury
1223,Cardinia Road
1034,Carnegie
1035,Carrum
1036,Caulfield
1037,Chatham
1038,Chelsea
1039,Cheltenham
1040,Clayton
1041,Clifton Hill
1042,Coburg
1043,Collingwood
1221,Coolaroo
1044,Craigieburn
1045,Cranbourne
1046,Crib Point
1047,Croxton
1048,Croydon
1049,Dandenong
1051,Darling
1057,East Camberwell
1058,East Malvern
1059,East Richmond
1060,Edithvale
1061,Elsternwick
1063,Epping
1064,Essendon
1066,Fawkner
1067,Ferntree Gully
1068,Flagstaff
1069,Flemington Bridge
1070,Flemington Racecourse
1071,Flinders Street
1072,Footscray
1073,Frankston
1074,Gardenvale
1075,Gardiner
1076,Ginifer
1077,Glen Iris
1078,Glen Waverley
1079,Glenbervie
1080,Glenferrie
1081,Glenhuntly
1082,Glenroy
1083,Gowrie
1085,Hallam
1086,Hampton
1087,Hartwell
1088,Hastings
1089,Hawksburn
1090,Hawthorn
1091,Heatherdale
1092,Heathmont
1094,Heyington
1095,Highett
1096,Holmesglen
1097,Hoppers Crossing
1098,Hughesdale
1099,Huntingdale
1102,Jacana
1103,Jewell
1104,Jolimont-MCG
1105,Jordanville
1106,Kananook
1107,Keilor Plains
1108,Kensington
1109,Keon Park
1110,Kooyong
1111,Laburnum
1112,Lalor
1113,Laverton
1114,Leawarra
1115,Lilydale
1222,Lynbrook
1116,Macaulay
1118,Malvern
1119,McKinnon
1120,Melbourne Central
1122,Mentone
1123,Merinda Park
1124,Merlynston
1125,Merri
1126,Middle Brighton
1127,Middle Footscray
1128,Mitcham
1129,Mont Albert
1131,Moonee Ponds
1132,Moorabbin
1133,Mooroolbark
1134,Mordialloc
1135,Moreland
1136,Morradoo
1137,Mount Waverley
1138,Murrumbeena
1139,Narre Warren
1140,Newmarket
1141,Newport
1142,Noble Park
1143,North Brighton
1144,North Melbourne
1145,North Richmond
1146,North Williamstown
1147,Northcote
1148,Nunawading
1149,Oak Park
1150,Oakleigh
1151,Officer
1152,Ormond
1153,Pakenham
1154,Parkdale
1155,Parliament
1156,Pascoe Vale
1157,Patterson
1158,Prahran
1159,Preston
1160,Regent
1161,Reservoir
1162,Richmond
1163,Ringwood
1164,Ringwood East
1165,Ripponlea
1166,Riversdale
1219,Roxburgh Park
1169,Royal Park
1170,Rushall
1171,Ruthven
1172,Sandown Park
1173,Sandringham
1174,Seaford
1175,Seaholme
1176,Seddon
1178,Somerville
1179,South Kensington
1224,South Morang
1180,South Yarra
1181,Southern Cross
1182,Spotswood
1183,Springvale
1184,St Albans
1185,Stony Point
1186,Strathmore
1218,Sunshine
1189,Surrey Hills
1190,Syndal
1191,Tecoma
1192,Thomastown
1193,Thornbury
1194,Toorak
1195,Tooronga
1196,Tottenham
1197,Tyabb
1198,Upfield
1199,Upper Ferntree Gully
1200,Upwey
1201,Victoria Park
1202,Watergardens
1205,Werribee
1206,West Footscray
1207,West Richmond
1208,Westall
1210,Westona
1211,Williamstown
1212,Williamstown Beach
1213,Willison
1214,Windsor
1215,Yarraman
1216,Yarraville
